Survey name,Operator,Dates,Data type,Datum,North lat,South lat,East long,West long,SEGY size,Navigation size,SEGY zip,Navigation zip,URL
B-01-83-AT,Bureau of Ocean Energy Management,1983,2D Multichannel Seismic,World Geodetic System 1984 (WGS84),40.72845,40.47707,-67.62827,-68.02356,(456.9 MB),(45.9 KB),https://walrus.wr.usgs.gov/namss/data/1983/namss.B-01-83-AT.mcs.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2015/08/31/b-01-83-at.segp1,https://walrus.wr.usgs.gov/namss/survey/b-01-83-at
B-01-84-AT,Bureau of Ocean Energy Management,1984,2D Multichannel Seismic,North American Datum 1983 (NAD83),42.88342,40.84101,-65.55663,-68.43222,(738.9 MB),(775.0 KB),https://walrus.wr.usgs.gov/namss/data/1984/namss.B-01-84-AT.mcs.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2015/08/31/b-01-84-at.segp1,https://walrus.wr.usgs.gov/namss/survey/b-01-84-at
B-01-88-AT,Bureau of Ocean Energy Management,1988,2D Multichannel Seismic,North American Datum 1983 (NAD83),40.58421,36.40586,-71.10319,-75.86776,(286.6 MB),(285.0 KB),https://walrus.wr.usgs.gov/namss/data/1988/namss.B-01-88-AT.mcs.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2015/08/31/b-01-88-at.segp1,https://walrus.wr.usgs.gov/namss/survey/b-01-88-at
B-01-88-LA,Bureau of Ocean Energy Management,1988,3D Multichannel Seismic,North American Datum 1927 (NAD27),27.88227,27.63816,-90.08237,-90.58249,(9.1 GB),(1.7 KB),https://walrus.wr.usgs.gov/namss/data/1988/namss.B-01-88-LA.mcs3d.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2015/08/31/b-01-88-la.zip,https://walrus.wr.usgs.gov/namss/survey/b-01-88-la
B-01-89-MS,Bureau of Ocean Energy Management,1989,3D Multichannel Seismic,North American Datum 1927 (NAD27),30.1851,30.01009,-87.73092,-88.04694,(2.6 GB),(1.3 KB),https://walrus.wr.usgs.gov/namss/data/1989/namss.B-1-89-MS.mcs3d.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2016/11/17/134904254697/B-1-89-MS.zip,https://walrus.wr.usgs.gov/namss/survey/b-01-89-ms
B-01-91-MS,Bureau of Ocean Energy Management,1991,3D Multichannel Seismic,North American Datum 1927 (NAD27),30.02877,29.83514,-86.94341,-87.3683,(1.2 GB),(1.8 KB),https://walrus.wr.usgs.gov/namss/data/1991/namss.B-1-91-MS.mcs3d.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2016/11/14/114549216751/B-1-91-MS.zip,https://walrus.wr.usgs.gov/namss/survey/b-01-91-ms
B-01-92-LA,Bureau of Ocean Energy Management,1992,2D Multichannel Seismic,North American Datum 1927 (NAD27),30.06596,28.5984,-88.5334,-92.36593,(2.6 GB),(605.6 KB),https://walrus.wr.usgs.gov/namss/data/1992/namss.B-01-92-LA.mcs.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2017/04/12/112805084846/GOMSEGY17-1A_L92-001_nav.segp1,https://walrus.wr.usgs.gov/namss/survey/b-01-92-la
B-01-95-LA,Bureau of Ocean Energy Management,1995,2D Multichannel Seismic,North American Datum 1927 (NAD27),28.56982,27.39675,-87.96909,-93.98586,(35.0 MB),(88.4 KB),https://walrus.wr.usgs.gov/namss/data/1995/namss.B-01-95-LA.mcs.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2020/10/20/124840138246/GOMSEGY2020-1.segp1,https://walrus.wr.usgs.gov/namss/survey/b-01-95-la
B-01-95-SC,Bureau of Ocean Energy Management,1995,3D Multichannel Seismic,North American Datum 1927 (NAD27),34.41828,34.29427,-119.99822,-120.43101,(1.5 GB),(77.4 KB),https://walrus.wr.usgs.gov/namss/data/1995/namss.B-01-95-SC.mcs3d.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2016/09/12/161351488503/SantaYnez_3D_nav.zip,https://walrus.wr.usgs.gov/namss/survey/b-01-95-sc
B-01a-92-LA,Bureau of Ocean Energy Management,1992,2D Multichannel Seismic,North American Datum 1927 (NAD27),30.06727,28.644,-88.44547,-92.39032,(3.0 GB),(686.3 KB),https://walrus.wr.usgs.gov/namss/data/1992/namss.B-01a-92-LA.mcs.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2017/04/12/115328235944/L92_001_GOMSEGY17-1B_nav.segp1,https://walrus.wr.usgs.gov/namss/survey/b-01a-92-la
B-02-77-AT,Bureau of Ocean Energy Management,1977,2D Multichannel Seismic,North American Datum 1983 (NAD83),34.90825,29.23044,-74.88113,-80.19054,(1.5 GB),(600.3 KB),https://walrus.wr.usgs.gov/namss/data/1977/namss.B-02-77-AT.mcs.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2015/08/31/b-02-77-at.segp1,https://walrus.wr.usgs.gov/namss/survey/b-02-77-at
B-02-79-AT,Bureau of Ocean Energy Management,1979,2D Multichannel Seismic,North American Datum 1983 (NAD83),41.08964,40.31587,-67.10769,-68.37227,(664.4 MB),(135.2 KB),https://walrus.wr.usgs.gov/namss/data/1979/namss.B-02-79-AT.mcs.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2015/08/31/b-02-79-at.segp1,https://walrus.wr.usgs.gov/namss/survey/b-02-79-at
B-02-80-AT,Bureau of Ocean Energy Management,1980,2D Multichannel Seismic,North American Datum 1983 (NAD83),36.57456,30.46867,-74.2339,-80.35692,(1.7 GB),(371.3 KB),https://walrus.wr.usgs.gov/namss/data/1980/namss.B-02-80-AT.mcs.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2015/08/31/b-02-80-at.segp1,https://walrus.wr.usgs.gov/namss/survey/b-02-80-at
B-02-81-AR,Bureau of Ocean Energy Management,1981,2D Multichannel Seismic,North American Datum 1983 (NAD83),71.0748,70.53068,-150.24922,-153.88936,(423.6 MB),(284.7 KB),https://walrus.wr.usgs.gov/namss/data/1981/namss.B-02-81-AR.mcs.vibroseis.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2016/03/18/81-02.n83,https://walrus.wr.usgs.gov/namss/survey/b-02-81-ar
B-02-82-AT,Bureau of Ocean Energy Management,1982,2D Multichannel Seismic,North American Datum 1983 (NAD83),40.13045,32.50949,-70.47128,-76.56231,(6.5 GB),(1.2 MB),https://walrus.wr.usgs.gov/namss/data/1982/namss.B-02-82-AT.mcs.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2015/08/31/b-02-82-at.segp1,https://walrus.wr.usgs.gov/namss/survey/b-02-82-at
B-02-84-AT,Bureau of Ocean Energy Management,1984,2D Multichannel Seismic,North American Datum 1983 (NAD83),42.23814,41.14232,-66.00103,-67.12689,(414.4 MB),(160.4 KB),https://walrus.wr.usgs.gov/namss/data/1984/namss.B-02-84-AT.mcs.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2015/08/31/b-02-84-at.segp1,https://walrus.wr.usgs.gov/namss/survey/b-02-84-at
B-02-84-LA,Bureau of Ocean Energy Management,1984,2D Multichannel Seismic,North American Datum 1927 (NAD27),29.21578,28.12537,-88.38967,-89.51369,(42.3 MB),(49.5 KB),https://walrus.wr.usgs.gov/namss/data/1984/namss.B-02-84-LA.mcs.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2015/08/31/b-02-84-la.segp1,https://walrus.wr.usgs.gov/namss/survey/b-02-84-la
B-02-88-LA,Bureau of Ocean Energy Management,1988,3D Multichannel Seismic,North American Datum 1927 (NAD27),28.27346,27.96099,-88.9365,-89.35911,(6.0 GB),(11.6 KB),https://walrus.wr.usgs.gov/namss/data/1988/namss.B-02-88-LA.mcs3d.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2015/08/31/b-02-88-la.zip,https://walrus.wr.usgs.gov/namss/survey/b-02-88-la
B-02A-87-TX,Bureau of Ocean Energy Management,1987,3D Multichannel Seismic,North American Datum 1927 (NAD27),28.20667,27.92503,-93.92023,-94.09243,(4.6 GB),(1.4 KB),https://walrus.wr.usgs.gov/namss/data/1987/namss.B-02A-87-TX.mcs3d.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2015/08/31/b-02a-87-tx.zip,https://walrus.wr.usgs.gov/namss/survey/b-02a-87-tx
B-03-75-AT,Bureau of Ocean Energy Management,1975,2D Multichannel Seismic,World Geodetic System 1984 (WGS84),42.42009,39.08582,-65.41089,-72.27982,(3.4 GB),(1.3 MB),https://walrus.wr.usgs.gov/namss/data/1975/namss.B-03-75-AT.mcs.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2015/08/31/b-03-75-at.segp1,https://walrus.wr.usgs.gov/namss/survey/b-03-75-at
B-03-75-LA,Bureau of Ocean Energy Management,1975,2D Multichannel Seismic,North American Datum 1927 (NAD27),29.6486,29.23806,-91.9549,-93.86979,(8.9 MB),(12.8 KB),https://walrus.wr.usgs.gov/namss/data/1975/namss.B-03-75-LA.mcs.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2015/08/31/b-03-75-la.segp1,https://walrus.wr.usgs.gov/namss/survey/b-03-75-la
B-03-77-AK,Bureau of Ocean Energy Management,1977,2D Multichannel Seismic,North American Datum 1983 (NAD83),71.68901,69.73385,-140.87179,-158.1565,(1.8 GB),(764.9 KB),https://walrus.wr.usgs.gov/namss/data/1977/namss.B-03-77-AK.mcs.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2016/08/29/103659593057/77-03.n83.nav.txt,https://walrus.wr.usgs.gov/namss/survey/b-03-77-ak
B-03-80-AR,Bureau of Ocean Energy Management,1980,2D Multichannel Seismic,North American Datum 1983 (NAD83),70.87682,70.51406,-149.33446,-152.02037,(110.4 MB),(98.1 KB),https://walrus.wr.usgs.gov/namss/data/1980/namss.B-03-80-AR.mcs.vibroseis.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2016/03/18/80-03.n83,https://walrus.wr.usgs.gov/namss/survey/b-03-80-ar
B-03-80-LA,Bureau of Ocean Energy Management,1980,2D Multichannel Seismic,North American Datum 1927 (NAD27),29.40007,27.96106,-88.24709,-91.37079,(57.8 MB),(134.7 KB),https://walrus.wr.usgs.gov/namss/data/1980/namss.B-03-80-LA.mcs.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2015/08/31/b-03-80-la.segp1,https://walrus.wr.usgs.gov/namss/survey/b-03-80-la
B-03-81-AT,Bureau of Ocean Energy Management,1981,2D Multichannel Seismic,North American Datum 1983 (NAD83),40.87925,39.58546,-66.86182,-70.94288,(3.1 GB),(1.6 MB),https://walrus.wr.usgs.gov/namss/data/1981/namss.B-03-81-AT.mcs.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2015/08/31/b-03-81-at.segp1,https://walrus.wr.usgs.gov/namss/survey/b-03-81-at
B-03-82-AT,Bureau of Ocean Energy Management,1982,2D Multichannel Seismic,World Geodetic System 1984 (WGS84),40.49623,39.77402,-66.66324,-68.30966,(342.8 MB),(51.6 KB),https://walrus.wr.usgs.gov/namss/data/1982/namss.B-03-82-AT.mcs.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2015/08/31/b-03-82-at.segp1,https://walrus.wr.usgs.gov/namss/survey/b-03-82-at
B-03-88-LA,Bureau of Ocean Energy Management,1988,3D Multichannel Seismic,North American Datum 1927 (NAD27),28.03083,27.86476,-89.39408,-89.58565,(711.5 MB),(1.2 KB),https://walrus.wr.usgs.gov/namss/data/1988/namss.B-03-88-LA.mcs3d.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2015/08/31/b-03-88-la.zip,https://walrus.wr.usgs.gov/namss/survey/b-03-88-la
B-03-89-MS,Bureau of Ocean Energy Management,1989,3D Multichannel Seismic,North American Datum 1927 (NAD27),29.99846,29.98355,-87.98742,-88.03428,(643.3 MB),(1.8 KB),https://walrus.wr.usgs.gov/namss/data/1989/namss.B-3-89-MS.mcs3d.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2016/11/17/161714174276/B-3-89-MS.zip,https://walrus.wr.usgs.gov/namss/survey/b-03-89-ms
B-03-91-LA,Bureau of Ocean Energy Management,1991,2D Multichannel Seismic,North American Datum 1927 (NAD27),30.03728,27.98178,-87.95218,-90.64109,(3.4 GB),(1.5 MB),https://walrus.wr.usgs.gov/namss/data/1991/namss.B-3-91-LA.mcs.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2017/02/07/134538094559/GOMSEGY16-1a.segp1,https://walrus.wr.usgs.gov/namss/survey/b-03-91-la
B-03A-87-LA,Bureau of Ocean Energy Management,1987,3D Multichannel Seismic,North American Datum 1927 (NAD27),28.02504,27.84412,-92.51968,-92.71886,(3.9 GB),(1.3 KB),https://walrus.wr.usgs.gov/namss/data/1987/namss.B-03A-87-LA.mcs3d.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2015/08/31/b-03a-87-la.zip,https://walrus.wr.usgs.gov/namss/survey/b-03a-87-la
B-03a-91-LA,Bureau of Ocean Energy Management,1991,2D Multichannel Seismic,North American Datum 1927 (NAD27),29.18382,27.98049,-89.5238,-90.79386,(3.6 GB),(1.6 MB),https://walrus.wr.usgs.gov/namss/data/1991/namss.B-3a-91-LA.mcs.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2017/02/07/141251089087/L91_003_GOMSEGY16-1b_nav.segp1,https://walrus.wr.usgs.gov/namss/survey/b-03a-91-la
B-03B-87-LA,Bureau of Ocean Energy Management,1987,3D Multichannel Seismic,North American Datum 1927 (NAD27),27.96719,27.84537,-92.28601,-92.4961,(3.6 GB),(1.2 KB),https://walrus.wr.usgs.gov/namss/data/1987/namss.B-03B-87-LA.mcs3d.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2015/08/31/b-03b-87-la.zip,https://walrus.wr.usgs.gov/namss/survey/b-03b-87-la
B-03b-91-LA,Bureau of Ocean Energy Management,1991,2D Multichannel Seismic,North American Datum 1927 (NAD27),30.06555,28.50987,-87.74522,-90.08397,(3.7 GB),(1.6 MB),https://walrus.wr.usgs.gov/namss/data/1991/namss.B-3b-91-LA.mcs.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2017/02/07/142404681013/L91_003_GOMSEGY16-1C_nav.segp1,https://walrus.wr.usgs.gov/namss/survey/b-03b-91-la
B-03c-91-LA,Bureau of Ocean Energy Management,1991,2D Multichannel Seismic,North American Datum 1927 (NAD27),30.065,28.96435,-87.72337,-88.91227,(3.4 GB),(1.6 MB),https://walrus.wr.usgs.gov/namss/data/1991/namss.B-3c-91-LA.mcs.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2017/02/07/142849074176/L91_003_GOMSEGY16-1d_nav.segp1,https://walrus.wr.usgs.gov/namss/survey/b-03c-91-la
B-04-80-AT,Bureau of Ocean Energy Management,1980,2D Multichannel Seismic,North American Datum 1983 (NAD83),40.49604,32.85921,-68.24588,-76.73079,(1.1 GB),(279.5 KB),https://walrus.wr.usgs.gov/namss/data/1980/namss.B-04-80-AT.mcs.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2015/08/31/b-04-80-at.segp1,https://walrus.wr.usgs.gov/namss/survey/b-04-80-at
B-04-81-AT,Bureau of Ocean Energy Management,1981,2D Multichannel Seismic,North American Datum 1983 (NAD83),39.19208,37.9439,-72.17132,-73.81364,(72.9 MB),(27.3 KB),https://walrus.wr.usgs.gov/namss/data/1981/namss.B-04-81-AT.mcs.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2015/08/31/b-04-81-at.segp1,https://walrus.wr.usgs.gov/namss/survey/b-04-81-at
B-04-82-AT,Bureau of Ocean Energy Management,1982,2D Multichannel Seismic,World Geodetic System 1984 (WGS84),40.3879,28.32278,-68.37747,-81.04257,(779.0 MB),(234.0 KB),https://walrus.wr.usgs.gov/namss/data/1982/namss.B-04-82-AT.mcs.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2015/08/31/b-04-82-at.segp1,https://walrus.wr.usgs.gov/namss/survey/b-04-82-at
B-04-83-AT,Bureau of Ocean Energy Management,1983,2D Multichannel Seismic,World Geodetic System 1984 (WGS84),41.12456,40.299,-68.57109,-70.62808,(520.7 MB),(191.7 KB),https://walrus.wr.usgs.gov/namss/data/1983/namss.B-04-83-AT.mcs.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2015/08/31/b-04-83-at.segp1,https://walrus.wr.usgs.gov/namss/survey/b-04-83-at
B-04-88-LA,Bureau of Ocean Energy Management,1988,3D Multichannel Seismic,North American Datum 1927 (NAD27),30.16308,29.95883,-88.25749,-88.70409,(2.0 GB),(3.8 KB),https://walrus.wr.usgs.gov/namss/data/1988/namss.B-04-88-LA.mcs3d.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2015/08/31/b-04-88-la.zip,https://walrus.wr.usgs.gov/namss/survey/b-04-88-la
B-04-89-TX,Bureau of Ocean Energy Management,1989,3D Multichannel Seismic,North American Datum 1927 (NAD27),27.9312,27.77027,-94.67936,-94.85395,(1022.1 MB),(1.0 KB),https://walrus.wr.usgs.gov/namss/data/1989/namss.B-4-89-TX.mcs3d.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2016/11/17/135322324839/B-4-89-TX.zip,https://walrus.wr.usgs.gov/namss/survey/b-04-89-tx
B-04-95-LA,Bureau of Ocean Energy Management,1995,3D Multichannel Seismic,North American Datum 1927 (NAD27),28.83822,28.67277,-92.61915,-92.95734,(7.2 GB),(3.6 KB),https://walrus.wr.usgs.gov/namss/data/1995/namss.B-04-95-LA.mcs3d.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2021/03/16/114318235219/B-04-95-LA.zip,https://walrus.wr.usgs.gov/namss/survey/b-04-95-la
B-05-76-LA,Bureau of Ocean Energy Management,1976,2D Multichannel Seismic,North American Datum 1927 (NAD27),29.75802,28.8546,-90.78794,-93.31351,(79.6 MB),(31.1 KB),https://walrus.wr.usgs.gov/namss/data/1976/namss.B-05-76-LA.mcs.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2015/08/31/b-05-76-la.segp1,https://walrus.wr.usgs.gov/namss/survey/b-05-76-la
B-05-81-AT,Bureau of Ocean Energy Management,1981,2D Multichannel Seismic,North American Datum 1983 (NAD83),27.84499,22.59888,-78.13194,-82.3075,(2.0 GB),(287.4 KB),https://walrus.wr.usgs.gov/namss/data/1981/namss.B-05-81-AT.mcs.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2015/08/31/b-05-81-at.segp1,https://walrus.wr.usgs.gov/namss/survey/b-05-81-at
B-05-83-AT,Bureau of Ocean Energy Management,1983,2D Multichannel Seismic,World Geodetic System 1984 (WGS84),38.16068,31.99077,-73.49511,-76.95743,(536.2 MB),(122.9 KB),https://walrus.wr.usgs.gov/namss/data/1983/namss.B-05-83-AT.mcs.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2015/08/31/b-05-83-at.segp1,https://walrus.wr.usgs.gov/namss/survey/b-05-83-at
B-05-83-LA,Bureau of Ocean Energy Management,1983,2D Multichannel Seismic,North American Datum 1927 (NAD27),28.76926,27.48639,-91.3144,-94.01425,(41.6 MB),(185.1 KB),https://walrus.wr.usgs.gov/namss/data/1983/namss.B-05-83-LA.mcs.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2015/08/31/b-05-83-la.segp1,https://walrus.wr.usgs.gov/namss/survey/b-05-83-la
B-05-86-AT,Bureau of Ocean Energy Management,1986,2D Multichannel Seismic,World Geodetic System 1984 (WGS84),36.96317,32.49334,-75.31153,-79.75088,(89.9 MB),(34.7 KB),https://walrus.wr.usgs.gov/namss/data/1986/namss.B-05-86-AT.mcs.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2015/08/31/b-05-86-at.segp1,https://walrus.wr.usgs.gov/namss/survey/b-05-86-at
B-05-86-LA,Bureau of Ocean Energy Management,1986,2D Multichannel Seismic,North American Datum 1927 (NAD27),28.98757,28.61266,-90.11327,-90.48961,(88.6 MB),(781.3 KB),https://walrus.wr.usgs.gov/namss/data/1986/namss.B-05-86-LA.mcs.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2015/08/31/b-05-86-la.segp1,https://walrus.wr.usgs.gov/namss/survey/b-05-86-la
B-05-88-LA,Bureau of Ocean Energy Management,1988,3D Multichannel Seismic,North American Datum 1927 (NAD27),28.27225,28.08577,-89.93766,-90.05473,(438.8 MB),(1.2 KB),https://walrus.wr.usgs.gov/namss/data/1988/namss.B-05-88-LA.mcs3d.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2015/08/31/b-05-88-la.zip,https://walrus.wr.usgs.gov/namss/survey/b-05-88-la
B-05-90-MS,Bureau of Ocean Energy Management,1990,3D Multichannel Seismic,North American Datum 1927 (NAD27),30.13006,29.98873,-87.26225,-87.42114,(119.8 MB),(1.7 KB),https://walrus.wr.usgs.gov/namss/data/1990/namss.B-5-90-MS.mcs3d.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2016/11/17/133050100741/B-5-90-MS.zip,https://walrus.wr.usgs.gov/namss/survey/b-05-90-ms
B-06-75-LA,Bureau of Ocean Energy Management,1975,2D Multichannel Seismic,North American Datum 1927 (NAD27),28.47836,28.25208,-91.20973,-91.9225,(383.5 MB),(39.6 KB),https://walrus.wr.usgs.gov/namss/data/1975/namss.B-06-75-LA.mcs.aquapulse.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2015/08/31/b-06-75-la.segp1,https://walrus.wr.usgs.gov/namss/survey/b-06-75-la
B-06-76-AT,Bureau of Ocean Energy Management,1976,2D Multichannel Seismic,North American Datum 1983 (NAD83),41.45488,38.5052,-66.58911,-74.28644,(1.2 GB),(91.0 KB),https://walrus.wr.usgs.gov/namss/data/1976/namss.B-06-76-AT.mcs.airgun.zip,https://walrus.wr.usgs.gov/namss/media/navigation/2015/08/31/b-06-76-at.segp1,https://walrus.wr.usgs.gov/namss/survey/b-06-76-at
